Bus,ZoneBus,Xcoord,Ycoord,Country,lat_known,lon_known,lat_pred,lon_pred
D-1,DE/LX,474.01998901,917.30996704,D,,,54.6866760498048,9.18512455233338
D-187,DE/LX,651,551.09999084,D,,,49.0212586207099,12.1155023070996
D-35,DE/LX,681.80999756,806.31747437,D,,,52.761381095172,13.677150760572
D-189,DE/LX,528,546.75,D,,,49.0785982273489,9.50161276744283
D-37,DE/LX,456.89001465,804.45748901,D,,,53.0165589915395,8.54364660804199
D-121,DE/LX,678.0300293,673.08000183,D,,,50.7970755554876,13.1192770436629
D-191,DE/LX,675.09997559,540.1875,D,,,48.8359909238361,12.5870371106888
D-32,DE/LX,443.81822182,811.15706725,D,,,53.1336217877935,8.25928197558974
D-33,DE/LX,486.88000488,810.23995972,D,,,53.0654718471017,9.24058623037875
D-30,DE/LX,539.04998779,814.01998901,D,,,53.0560046255953,10.4416988726244
D-27,DE/LX,391.13000488,825.39752197,D,,,53.4148860650467,7.08008027698116
D_Connef,DE/LX,434.72000122,822.19500732,D,53.333333,8.053056,53.3110252830254,8.07325555747851
D-29,DE/LX,404.20999146,821.56503296,D,,,53.3404390993678,7.37319591663514
D-190,DE/LX,628.17999268,546.50248718,D,,,48.9757671658041,11.6178300985733
D-15,DE/LX,580.2800293,856.63504028,D,,,53.6378869356192,11.5080408164419
D-23,DE/LX,511.66000366,840.17999268,D,,,53.4818124927865,9.88021385940548
D-24,DE/LX,456.13000488,835.01998901,D,,,53.4762083586453,8.59077542844849
D-20,DE/LX,497.82000732,842.56503296,D,,,53.5354099914181,9.56722439510205
D-21,DE/LX,536.9699707,842.56503296,D,,,53.4846649060549,10.4692392864114
D-19,DE/LX,708.85998535,844.23751831,D,,,53.2865294771078,14.4358372966425
D-18,DE/LX,491.35998535,845.33248901,D,,,53.5852174116305,9.42485058524682
D-185,DE/LX,393,559.5,D,,,49.4044149237322,6.67047569954537
D-195,DE/LX,535.05999756,534,D,,,48.8812951669177,9.61742653812123
D-13,DE/LX,691.90002441,866.33999634,D,,,53.634868052454,14.1251179844554
D-12,DE/LX,476,868,D,,,53.9449072687265,9.12139045114017
D-196,DE/LX,519.54998779,531.77252197,D,,,48.863157939279,9.28533423701082
D-194,DE/LX,566.97998047,534.63002014,D,,,48.8595047993362,10.2911171201636
D-7,DE/LX,608.71002197,893.31747437,D,,,54.1453708744686,12.2791048917714
D-199,DE/LX,491.98999023,526.20748901,D,,,48.8066943825574,8.69257270002737
D-198,DE/LX,604.23999023,528.50248718,D,,,48.7320670799549,11.0568113544823
D-193,DE/LX,669.86999512,537.88499451,D,,,48.8070848689243,12.4687081845646
D_185,DE/LX,408.45001221,559.67248535,D,,,49.3915154005357,6.99854815556782
D-206,DE/LX,656.54998779,514.52252197,D,,,48.4743627184485,12.1085223200522
D-209,DE/LX,645.77001953,509.54251099,D,,,48.4109092280165,11.8663662689717
D-205,DE/LX,608.47998047,515.46002197,D,,,48.5342616004941,11.1055917829836
D-212,DE/LX,460.25,504.62251282,D,,,48.5135722113556,7.97995152228664
E-215,DE/LX,510.8999939,492.45748901,D,,,48.2837599123539,9.00657873384367
E-204,DE/LX,573.14001465,516.04499817,D,,,48.5768053922645,10.3675909671066
D-71,DE/LX,474.41000366,740.15249634,D,,,52.0306437302,8.79980800408141
E-218,DE/LX,539.34997559,481.67999268,D,,,48.0963749707285,9.56931137794319
E-217,DE/LX,499.98999023,481.94252014,D,,,48.1366101919317,8.75469843475508
D-158,DE/LX,493.8500061,603.59999084,D,,,49.9634073674569,8.91367179103778
D-224,DE/LX,585.98999023,460.46250916,D,,,47.7377655111447,10.4728235673778
D-216,DE/LX,667.90997314,491.49000549,D,,,48.1228677843806,12.2661886220322
E-223,DE/LX,511.3999939,462.89250183,D,,,47.8412621783578,8.94408167380008
D-203,DE/LX,528.38000488,521.10749817,D,,,48.6952877870564,9.44361711646891
D-183,DE/LX,658.92999268,560.29499817,D,,,49.1494448157286,12.3147202635867
D-126,DE/LX,382,668,D,,,51.0521892668208,6.61405664296129
