Generator,GeneratorType,BusGenerator,Capacity,FixedCost,VariableCost,Technology,Country
BNA1043,FAST,D-88,355.0,9333.0,113.06,OCGT,DE
BNA1056,SLOW,D-155,25.015,9333.0,88.36,OCGT,DE
BNA1074,FAST,D-85,40.0,9333.0,107.04,OCGT,DE
BNA1078,SLOW,D-192,59.0,9333.0,89.56,OCGT,DE
BNA1085,SLOW,D-163,23.0,9333.0,87.13,OCGT,DE
BNA1086,SLOW,D-163,25.0,9333.0,85.04,OCGT,DE
BNA1089,SLOW,D-52,27.0,9333.0,86.91,OCGT,DE
BNA1094,SLOW,D-136,15.1,9333.0,90.84,OCGT,DE
BNA1103,SLOW,D-210,29.0,9333.0,89.28,OCGT,DE
BNA1104,SLOW,D-210,20.4,9333.0,88.41,OCGT,DE
BNA1105,SLOW,D-118,9.7,9333.0,86.16,OCGT,DE
BNA1117,SLOW,D-158,11.4,9333.0,87.87,OCGT,DE
BNA1121,SLOW,D-104,0.9,9333.0,88.59,OCGT,DE
BNA1131,SLOW,D-136,14.0,9333.0,86.47,OCGT,DE
BNA1138,SLOW,D-123,10.2,9333.0,88.83,OCGT,DE
BNA1151,SLOW,D-177,13.5,9333.0,87.16,OCGT,DE
BNA1165,SLOW,D-93,11.4,9333.0,93.15,OCGT,DE
BNA1182,SLOW,D-123,15.5,9333.0,90.37,OCGT,DE
BNA1187,SLOW,D-71,10.2,9333.0,87.81,OCGT,DE
BNA1193,SLOW,D-71,12.6,9333.0,86.23,OCGT,DE
BNA1196a,SLOW,D-177,12.5,9333.0,90.74,OCGT,DE
BNA1238,SLOW,D-216,15.1,9333.0,89.89,OCGT,DE
BNA1248a,SLOW,D_oberbr,64.0,9333.0,87.46,OCGT,DE
BNA1248b,SLOW,D_oberbr,76.0,9333.0,88.68,OCGT,DE
BNA1260,SLOW,D-208,95.0,9333.0,89.24,OCGT,DE
BNA1264,SLOW,D-134,13.5,9333.0,86.89,OCGT,DE
BNA1271,SLOW,D-124,20.0,9333.0,90.6,OCGT,DE
BNA1284,SLOW,D-165/16,11.5,9333.0,83.56,OCGT,DE
BNA1285,SLOW,D-59,11.0,9333.0,84.96,OCGT,DE
BNA1292b,SLOW,E-204,18.9,9333.0,89.64,OCGT,DE
BNA1293c,SLOW,D_Rommer,3.0,9333.0,87.89,OCGT,DE
BNA1315,SLOW,D_Eichst,27.0,9333.0,88.7,OCGT,DE
BNA1327a,SLOW,D-209,9.5,9333.0,85.89,OCGT,DE
BNA1327b,SLOW,D-209,7.44,9333.0,84.17,OCGT,DE
BNA1328,SLOW,D-216,24.0,9333.0,89.49,OCGT,DE
BNA1332,SLOW,D-109,24.0,9333.0,85.32,OCGT,DE
BNA1333a,SLOW,D-196,12.181,9333.0,82.39,OCGT,DE
BNA1333b,SLOW,D-196,11.3377,9333.0,88.1,OCGT,DE
BNA1333c,SLOW,D-196,11.6188,9333.0,90.04,OCGT,DE
BNA1335a,SLOW,D_Connef,58.1,9333.0,85.93,OCGT,DE
BNA1335b,FAST,D_Connef,0.48,9333.0,109.66,OCGT,DE
BNA1336,SLOW,D-123,84.0,9333.0,92.19,OCGT,DE
BNA1396,SLOW,D-94,34.3,9333.0,86.8,OCGT,DE
BNA1400b,FAST,D-114,23.3,9333.0,107.73,OCGT,DE
BNA1402,SLOW,D-42,18.1,9333.0,92.08,OCGT,DE
BNA1403,SLOW,D-51,11.4,9333.0,89.04,OCGT,DE
BNA1406,SLOW,D-126,18.879,9333.0,92.49,OCGT,DE
BNA1407,SLOW,D-122,18.72,9333.0,86.05,OCGT,DE
BNA1408,SLOW,D_kuhmoo,15.68,9333.0,87.72,OCGT,DE
BNA1464,SLOW,D_185,38.61,9333.0,90.78,OCGT,DE
BNA1465d,SLOW,D-106,13.2,9333.0,80.71,OCGT,DE
BNA1489,SLOW,D-52,13.2,9333.0,92.14,OCGT,DE
BNA1492a,SLOW,D-139,26.2,9333.0,82.48,OCGT,DE
BNA1492b,SLOW,D-139,7.5,9333.0,86.47,OCGT,DE
BNA1498,SLOW,D-60,30.6,9333.0,87.31,OCGT,DE
BNA1499,SLOW,D-64,17.11,9333.0,85.84,OCGT,DE
BNA1502,SLOW,D-109,12.6,9333.0,85.62,OCGT,DE
BNA1503,SLOW,D-109,21.1,9333.0,86.52,OCGT,DE
BNA1504,SLOW,D-192,13.04,9333.0,85.33,OCGT,DE
BNA1505,SLOW,D-118,22.1,9333.0,89.69,OCGT,DE
BNA1506,FAST,D-58,23.4,9333.0,107.59,OCGT,DE
BNA1509,SLOW,D-56,66.0,9333.0,87.14,OCGT,DE
BNA1516,SLOW,D-177,30.0,9333.0,85.57,OCGT,DE
BNA1523d,SLOW,D-144,8.4,9333.0,88.43,OCGT,DE
BNA1524,SLOW,D-33,12.75,9333.0,90.47,OCGT,DE
BNA1531,SLOW,D-3,38.0,9333.0,87.2,OCGT,DE
BNA1541,SLOW,D-122,13.4,9333.0,88.27,OCGT,DE
BNA1658,SLOW,D-71,10.1,9333.0,83.47,OCGT,DE
BNA1676,SLOW,D-95,60.76,9333.0,81.62,OCGT,DE
BNA1677,SLOW,D-55,10.4,9333.0,90.07,OCGT,DE
BNA1678,SLOW,D-209,16.8,9333.0,88.14,OCGT,DE
BNA1818,SLOW,D-123,459.9,9333.0,85.5,OCGT,DE
BNA1821,SLOW,D-47,15.0,9333.0,89.95,OCGT,DE
BNA1859,SLOW,D-185,22.0,9333.0,86.28,OCGT,DE
BNA1861,SLOW,D-187,10.6,9333.0,85.96,OCGT,DE
BNA1862,SLOW,D-187,2.65,9333.0,84.62,OCGT,DE
BNA1868,SLOW,D-153,38.7,9333.0,86.48,OCGT,DE
BNA1873,SLOW,D-193,16.0,9333.0,86.44,OCGT,DE
BNA1904,SLOW,D-1,29.0,9333.0,88.41,OCGT,DE
BNA1909,SLOW,D-196,29.151,9333.0,87.82,OCGT,DE
BNA1911,SLOW,D-94,11.5,9333.0,92.46,OCGT,DE
BNA1925,SLOW,D-114,17.3,9333.0,91.25,OCGT,DE
BNA1926,SLOW,D-114,22.1,9333.0,84.2,OCGT,DE
BNA1927,SLOW,D-118,10.0,9333.0,85.56,OCGT,DE
BNA1934,SLOW,D-206,17.6,9333.0,86.07,OCGT,DE
BNA1935,SLOW,D-47,289.0,9333.0,86.08,OCGT,DE
BNA1937,SLOW,D-153,38.7,9333.0,86.66,OCGT,DE
BNA1938,SLOW,D-194,15.0,9333.0,89.75,OCGT,DE
BNA1944,SLOW,D-193,13.5,9333.0,85.24,OCGT,DE
BNA1945,SLOW,D-4,188.0,9333.0,92.34,OCGT,DE
BNA1946,SLOW,D-214,13.5,9333.0,83.4,OCGT,DE
BNa1947,SLOW,D-214,13.6,9333.0,89.18,OCGT,DE
BNA0157,SLOW,D-10,1410.0,92000.0,9.1,Nuclear,DE
BNA0251,SLOW,D-74,1360.0,92000.0,9.1,Nuclear,DE
BNA0263,SLOW,D-206,1410.0,92000.0,9.1,Nuclear,DE
BNA0382,SLOW,E-204,1288.0,92000.0,9.1,Nuclear,DE
BNA0607,SLOW,D-56,1336.0,92000.0,9.1,Nuclear,DE
BNA0686,SLOW,D-186,1310.0,92000.0,9.1,Nuclear,DE
BNA0547,SLOW,D-137,97.1,16500.0,74.59,OilCC,DE
BNA0596,SLOW,D-85,92.5,16500.0,75.47,OilCC,DE
BNA0648,FAST,D-196,85.0,16500.0,93.25,OilCC,DE
BNA0649,FAST,D-196,263.5,16500.0,89.93,OilCC,DE
BNA1083,FAST,D-110,60.0,16500.0,86.85,OilCC,DE
BNA0083,SLOW,D-47,184.0,9333.0,155.41,Oil,DE
BNA0083,SLOW,D-47,92.0,9333.0,133.65,Oil,DE
BNA0085b,FAST,D-47,34.0,9333.0,159.08,Oil,DE
BNA0085b,FAST,D-47,17.0,9333.0,169.87,Oil,DE
BNA0141,FAST,D-31,86.0,9333.0,157.66,Oil,DE
BNA0222,FAST,D-126,86.2,9333.0,164.19,Oil,DE
BNA0373,FAST,D-85,120.0,9333.0,176.71,Oil,DE
BNA0427,FAST,D-216,23.4,9333.0,155.85,Oil,DE
BNA0428,FAST,D-216,23.4,9333.0,157.24,Oil,DE
BNA0429,FAST,D-216,23.4,9333.0,181.5,Oil,DE
BNA0430,FAST,D-216,23.4,9333.0,180.97,Oil,DE
BNA0647,FAST,D-196,77.4,9333.0,156.45,Oil,DE
BNA1004,FAST,D-196,136.0,9333.0,158.98,Oil,DE
BNA1007a,FAST,D-224,24.0,9333.0,162.64,Oil,DE
BNA1015,FAST,D-20,50.5,9333.0,157.66,Oil,DE
BNA1016,FAST,D-20,50.5,9333.0,153.14,Oil,DE
BNA1060,FAST,D-22,56.0,9333.0,166.16,Oil,DE
BNA1092,FAST,D-209,50.0,9333.0,162.5,Oil,DE
BNA0318,FAST,D-139,24.8,9333.0,168.78,Oil,DE
BNA0369,FAST,D-103,17.0,9333.0,160.42,Oil,DE
BNA0378,FAST,D-190,386.0,9333.0,169.3,Oil,DE
BNA0379,FAST,D-190,386.0,9333.0,164.85,Oil,DE
BNA0516,SLOW,D-192,45.0,9333.0,143.43,Oil,DE
BNA0517,SLOW,D-192,25.0,9333.0,145.12,Oil,DE
BNA0759,FAST,D-10,88.0,9333.0,155.19,Oil,DE
BNA0766,FAST,D-6,87.0,9333.0,162.38,Oil,DE
BNA0894a,SLOW,D-19,28.0,9333.0,127.47,Oil,DE
BNA0894b,FAST,D-19,34.5,9333.0,153.91,Oil,DE
BNA0894c,SLOW,D-19,106.0,9333.0,133.26,Oil,DE
BNA0894d,SLOW,D-19,106.0,9333.0,161.47,Oil,DE
BNA0894e,FAST,D-19,59.0,9333.0,161.85,Oil,DE
BNA0937,FAST,D-196,23.3,9333.0,157.87,Oil,DE
BNA0938,FAST,D-196,23.3,9333.0,171.26,Oil,DE
BNA0939b,FAST,D-196,23.3,9333.0,168.73,Oil,DE
BNA0993,FAST,D-190,415.0,9333.0,184.62,Oil,DE
BNA1007b,FAST,D-224,10.5,9333.0,167.86,Oil,DE
BNA1036,FAST,D-111,206.0,9333.0,153.96,Oil,DE
BNA1166,FAST,D-100,4.8,9333.0,142.25,Oil,DE
BNA1212,FAST,D-219,11.4,9333.0,161.6,Oil,DE
BNA1227,FAST,D_leupol,11.4,9333.0,155.99,Oil,DE
BNA1280,SLOW,D-137,90.0,9333.0,140.13,Oil,DE
BNA1293d,FAST,D_Rommer,0.8,9333.0,161.09,Oil,DE
BNA1337d,FAST,D-159,0.5,9333.0,167.23,Oil,DE
BNA0997,SLOW,D_185,42.0,36800.0,27.6,Other,DE
BNA0492,SLOW,D-65,33.4,113160.0,38.64,Other,DE
BNA0485,SLOW,D-109,303.0,20828.8,16.56,OtherCC,DE
BNA0486,SLOW,D-109,303.0,20828.8,16.56,OtherCC,DE
BNA0597,SLOW,D-85,8.7,20828.8,16.56,OtherCC,DE
BNA0598b,SLOW,D-85,20.0,64048.56,23.18,OtherCC,DE
BNA0616b,SLOW,D-200,87.5,20828.8,16.56,OtherCC,DE
BNA1397a,SLOW,D-123,15.5,36800.0,27.6,Other,DE
BNA1397b,SLOW,D-123,19.2,36800.0,27.6,Other,DE
BNA1397c,SLOW,D-123,15.5,36800.0,27.6,Other,DE
BNA1397d,SLOW,D-123,10.4,113160.0,38.64,Other,DE
BNA1397e,SLOW,D-123,33.6,36800.0,27.6,Other,DE
BNA0142,SLOW,D-31,160.0,113160.0,38.64,Other,DE
BNA0217,SLOW,D-109,60.0,36800.0,27.6,Other,DE
BNA0218,SLOW,D-109,95.0,36800.0,27.6,Other,DE
BNA0219,SLOW,D-109,170.0,36800.0,27.6,Other,DE
BNA0237,SLOW,D-62,23.5,36800.0,27.6,Other,DE
BNA0238a,SLOW,D-62,45.0,36800.0,27.6,Other,DE
BNA0238b,SLOW,D-62,56.0,36800.0,27.6,Other,DE
BNA0395,SLOW,D-109,59.0,36800.0,27.6,Other,DE
BNA0396,SLOW,D-109,101.0,36800.0,27.6,Other,DE
BNA0397,SLOW,D-109,225.0,36800.0,27.6,Other,DE
BNA0598a,SLOW,D-79,14.0,36800.0,27.6,Other,DE
BNA0693,SLOW,D-14,53.6,36800.0,27.6,Other,DE
BNA0863,SLOW,D-55,94.5,36800.0,27.6,Other,DE
BNA0864,SLOW,D-55,97.0,36800.0,27.6,Other,DE
BNA0865b,SLOW,D-55,97.0,36800.0,27.6,Other,DE
BNA1115,SLOW,D-185,85.0,36800.0,27.6,Other,DE
BNA1249,SLOW,D_oberbr,6.0,36800.0,27.6,Other,DE
BNA1399,SLOW,D-109,38.0,36800.0,27.6,Other,DE
BNA1409,SLOW,D-109,21.0,36800.0,27.6,Other,DE
BNA1465a,SLOW,D-106,28.0,36800.0,27.6,Other,DE
BNA1523c,SLOW,D-144,10.3,36800.0,27.6,Other,DE
BNA1526,SLOW,D-12,44.5,36800.0,27.6,Other,DE
BNA1870,SLOW,D-137,26.5,113160.0,38.64,Other,DE
BNA1874,SLOW,D-99,12.5,113160.0,38.64,Other,DE
BNA1811,SLOW,D-104,15.0,113160.0,38.64,Other,DE
BNA1812,SLOW,D_185,15.0,113160.0,38.64,Other,DE
BNA1813,SLOW,D-104,15.0,113160.0,38.64,Other,DE
BNA1814,SLOW,D_185,15.0,113160.0,38.64,Other,DE
BNA1815,SLOW,D-109,15.0,113160.0,38.64,Other,DE
BNA1816,SLOW,D-180,15.0,113160.0,38.64,Other,DE
BNA1827,SLOW,D-15,12.5,113160.0,38.64,Other,DE
BNA1936,SLOW,D-36,18.0,36800.0,27.6,Other,DE
BNA1939,SLOW,D-224,16.0,113160.0,38.64,Other,DE
BNA1942,SLOW,D-1,48.0,113160.0,38.64,Other,DE
BNA0088b,SLOW,D-79,35.0,20828.8,16.56,OtherCC,DE
BNA0746,SLOW,D-174,18.0,20828.8,16.56,OtherCC,DE
BNA0084,SLOW,D-47,36.0,36800.0,27.6,Other,DE
BNA0097,SLOW,D-72,34.0,36800.0,27.6,Other,DE
BNA0117a,SLOW,D-137,12.0,36800.0,27.6,Other,DE
BNA0139,SLOW,D-31,33.0,113160.0,38.64,Other,DE
BNA0223a,SLOW,D-126,48.9,113160.0,38.64,Other,DE
BNA0223b,SLOW,D-126,53.7,36800.0,27.6,Other,DE
BNA0287a,SLOW,D-153,26.0,36800.0,27.6,Other,DE
BNA0287b,SLOW,D-153,46.5,36800.0,27.6,Other,DE
BNA0380,SLOW,D-82,23.3,36800.0,27.6,Other,DE
BNA0398,SLOW,D-23,24.0,36800.0,27.6,Other,DE
BNA0407,SLOW,D-74,13.2,36800.0,27.6,Other,DE
BNA0417,SLOW,D-60,22.5,113160.0,38.64,Other,DE
BNA0438,SLOW,D-58,37.5,113160.0,38.64,Other,DE
BNA0519,SLOW,D-102,38.0,36800.0,27.6,Other,DE
BNA0590,SLOW,D-85,16.25,113160.0,38.64,Other,DE
BNA0591,SLOW,D-85,16.25,113160.0,38.64,Other,DE
BNA0616a,SLOW,D-200,12.0,36800.0,27.6,Other,DE
BNA0622,SLOW,D-52,29.2,36800.0,27.6,Other,DE
BNA0623,SLOW,D-52,29.2,36800.0,27.6,Other,DE
BNA0640,SLOW,D-177,8.65,113160.0,38.64,Other,DE
BNA0641a,SLOW,D-177,22.1,36800.0,27.6,Other,DE
BNA0641b,SLOW,D-177,5.37,36800.0,27.6,Other,DE
BNA0641c,SLOW,D-177,3.88,36800.0,27.6,Other,DE
BNA0750,SLOW,D-109,40.4,36800.0,27.6,Other,DE
BNA0751,SLOW,D-109,21.1,36800.0,27.6,Other,DE
BNA0845,SLOW,D-216,9.0,36800.0,27.6,Other,DE
BNA0855,SLOW,D-41,30.0,113160.0,38.64,Other,DE
BNA0895,SLOW,D-154,24.4,36800.0,27.6,Other,DE
BNA0939a,SLOW,D-196,19.5,36800.0,27.6,Other,DE
BNA0969a,SLOW,D-214,18.0,36800.0,27.6,Other,DE
BNA0969c,SLOW,D-214,22.0,36800.0,27.6,Other,DE
BNA1020,SLOW,D_Siersd,27.0,113160.0,38.64,Other,DE
BNA1108,SLOW,D-85,9.9,36800.0,27.6,Other,DE
BNA1110,SLOW,D-208,9.5,113160.0,38.64,Other,DE
BNA1114,SLOW,D-36,44.0,36800.0,27.6,Other,DE
BNA1116,SLOW,D-24,14.0,36800.0,27.6,Other,DE
BNA1119,SLOW,D_233,12.5,113160.0,38.64,Other,DE
BNA1139,SLOW,D_Eichst,13.6,36800.0,27.6,Other,DE
BNA1144,SLOW,D-201,11.0,36800.0,27.6,Other,DE
BNA1148,SLOW,D-88,14.6,36800.0,27.6,Other,DE
BNA1154,SLOW,D-104,15.5,36800.0,27.6,Other,DE
BNA1155,SLOW,D-104,11.7,113160.0,38.64,Other,DE
BNA1161,SLOW,D-190,25.5,36800.0,27.6,Other,DE
BNA1167,SLOW,D-100,16.0,36800.0,27.6,Other,DE
BNA1168,SLOW,D-106,14.7,36800.0,27.6,Other,DE
BNA1184,SLOW,D-123,45.1,36800.0,27.6,Other,DE
BNA1186a,SLOW,D-109,13.5,36800.0,27.6,Other,DE
BNA1186b,SLOW,D-109,13.8,113160.0,38.64,Other,DE
BNA1186c,SLOW,D-109,1.5,36800.0,27.6,Other,DE
BNA1186d,SLOW,D-109,2.8,36800.0,27.6,Other,DE
BNA1186e,SLOW,D-109,1.5,36800.0,27.6,Other,DE
BNA1190,SLOW,D-94,15.7,36800.0,27.6,Other,DE
BNA1197,SLOW,D-177,28.0,36800.0,27.6,Other,DE
BNA1198,SLOW,D-114,23.0,36800.0,27.6,Other,DE
BNA1199,SLOW,D-155,15.6,36800.0,27.6,Other,DE
BNA1222,SLOW,D-157,14.5,36800.0,27.6,Other,DE
BNA1229,SLOW,D-178,15.0,36800.0,27.6,Other,DE
BNA1232,SLOW,D-45,2.5,113160.0,38.64,Other,DE
BNA1233,SLOW,D-45,14.5,36800.0,27.6,Other,DE
BNA1243,SLOW,D-7,17.0,36800.0,27.6,Other,DE
BNA1244,SLOW,D_185,16.0,113160.0,38.64,Other,DE
BNA1254,SLOW,D-183,54.0,36800.0,27.6,Other,DE
BNA1255,SLOW,D-19,28.9,36800.0,27.6,Other,DE
BNA1262,SLOW,D-79,24.0,36800.0,27.6,Other,DE
BNA1286,SLOW,D-134,12.1,36800.0,27.6,Other,DE
BNA1289,SLOW,D-111,12.61,36800.0,27.6,Other,DE
BNA1291,SLOW,D-144,12.5,36800.0,27.6,Other,DE
BNA1295,SLOW,D-210,10.0,36800.0,27.6,Other,DE
BNA1316,SLOW,D-110,30.0,36800.0,27.6,Other,DE
BNA1330,SLOW,D-16,17.0,36800.0,27.6,Other,DE
BNA1448,SLOW,D_185,11.6,36800.0,27.6,Other,DE
BNA1449a,SLOW,D-163,8.7,36800.0,27.6,Other,DE
BNA1449b,SLOW,D-163,12.0,36800.0,27.6,Other,DE
BNA1490,SLOW,D-137,33.4,36800.0,27.6,Other,DE
BNA1510,SLOW,D-83,18.7,36800.0,27.6,Other,DE
BNA1520,SLOW,D-155,10.5,36800.0,27.6,Other,DE
BNA1867,SLOW,D-123,18.0,113160.0,38.64,Other,DE
PROVENCE 4 BIOMASSE,SLOW,F-299,150.0,113160.0,38.64,Other,FR
CORDEMAIS 4,SLOW,F-160,580.0,46286.0,49.76,Coal,FR
CORDEMAIS 5,SLOW,F-160,580.0,46286.0,52.66,Coal,FR
EMILE HUCHET 6,SLOW,F-41,595.0,46286.0,51.42,Coal,FR
HAVRE 4,SLOW,F-50,580.0,46286.0,49.07,Coal,FR
PROVENCE 5,SLOW,F-181,595.0,46286.0,50.48,Coal,FR
AMFARD14,FAST,F-50,130.0,9333.0,105.39,OCGT,FR
AMFARD15,FAST,F-7,130.0,9333.0,106.24,OCGT,FR
BLENOD 5,FAST,F-63,427.0,9333.0,105.92,OCGT,FR
BOUCHAIN 7,FAST,F-8,585.0,9333.0,107.87,OCGT,FR
COMBIGOLFE,FAST,F-297,425.0,9333.0,106.32,OCGT,FR
CYCOFOS,FAST,F-297,428.0,9333.0,110.49,OCGT,FR
Croix-de-Metz,FAST,F-63,413.0,9333.0,107.16,OCGT,FR
DK6,FAST,F-1,796.0,9333.0,108.95,OCGT,FR
EMILE HUCHET 7,FAST,F-41,413.0,9333.0,101.61,OCGT,FR
EMILE HUCHET 8,FAST,F-41,413.0,9333.0,111.04,OCGT,FR
FR-GA-MORANT1,FAST,F-193,401.0,9333.0,105.79,OCGT,FR
GENNEVILLIERS 1,FAST,F-65,203.0,9333.0,106.94,OCGT,FR
MARTIGUES PONTEAU 5,FAST,F-297,465.0,9333.0,108.48,OCGT,FR
MARTIGUES PONTEAU 6,FAST,F-297,465.0,9333.0,108.54,OCGT,FR
Pont-sur-Sambre,FAST,F-10,412.0,9333.0,108.61,OCGT,FR
SPEM,FAST,F-154/15,435.0,9333.0,110.99,OCGT,FR
BELLEVILLE 1,SLOW,F-142,1310.0,92000.0,9.1,Nuclear,FR
BELLEVILLE 2,SLOW,F-142,1310.0,92000.0,9.1,Nuclear,FR
BLAYAIS 1,SLOW,F-240,910.0,92000.0,9.1,Nuclear,FR
BLAYAIS 2,SLOW,F-240,910.0,92000.0,9.1,Nuclear,FR
BLAYAIS 3,SLOW,F-240,910.0,92000.0,9.1,Nuclear,FR
BLAYAIS 4,SLOW,F-240,910.0,92000.0,9.1,Nuclear,FR
BUGEY 2,SLOW,F-206,910.0,92000.0,9.1,Nuclear,FR
BUGEY 3,SLOW,F-206,910.0,92000.0,9.1,Nuclear,FR
BUGEY 4,SLOW,F-206,880.0,92000.0,9.1,Nuclear,FR
BUGEY 5,SLOW,F-206,880.0,92000.0,9.1,Nuclear,FR
CATTENOM 1,SLOW,F-28,1300.0,92000.0,9.1,Nuclear,FR
CATTENOM 2,SLOW,F-28,1300.0,92000.0,9.1,Nuclear,FR
CATTENOM 3,SLOW,F-28,1300.0,92000.0,9.1,Nuclear,FR
CATTENOM 4,SLOW,F-28,1300.0,92000.0,9.1,Nuclear,FR
CHINON 1,SLOW,F-157,905.0,92000.0,9.1,Nuclear,FR
CHINON 2,SLOW,F-157,905.0,92000.0,9.1,Nuclear,FR
CHINON 3,SLOW,F-157,905.0,92000.0,9.1,Nuclear,FR
CHINON 4,SLOW,F-157,905.0,92000.0,9.1,Nuclear,FR
CHOOZ 1,SLOW,F-12choo,1500.0,92000.0,9.1,Nuclear,FR
CHOOZ 2,SLOW,F-12choo,1500.0,92000.0,9.1,Nuclear,FR
CIVAUX 1,SLOW,F-185,1495.0,92000.0,9.1,Nuclear,FR
CIVAUX 2,SLOW,F-185,1495.0,92000.0,9.1,Nuclear,FR
CRUAS 1,SLOW,F-259,915.0,92000.0,9.1,Nuclear,FR
CRUAS 2,SLOW,F-259,915.0,92000.0,9.1,Nuclear,FR
CRUAS 3,SLOW,F-259,915.0,92000.0,9.1,Nuclear,FR
CRUAS 4,SLOW,F-259,915.0,92000.0,9.1,Nuclear,FR
DAMPIERRE 1,SLOW,F-133,890.0,92000.0,9.1,Nuclear,FR
DAMPIERRE 2,SLOW,F-133,890.0,92000.0,9.1,Nuclear,FR
DAMPIERRE 3,SLOW,F-133,890.0,92000.0,9.1,Nuclear,FR
DAMPIERRE 4,SLOW,F-133,890.0,92000.0,9.1,Nuclear,FR
FESSENHEIM 1,SLOW,F_113,880.0,92000.0,9.1,Nuclear,FR
FESSENHEIM 2,SLOW,F_113,880.0,92000.0,9.1,Nuclear,FR
FLAMANVILLE 1,SLOW,F-34,1330.0,92000.0,9.1,Nuclear,FR
FLAMANVILLE 2,SLOW,F-34,1330.0,92000.0,9.1,Nuclear,FR
GOLFECH 1,SLOW,F-279,1310.0,92000.0,9.1,Nuclear,FR
GOLFECH 2,SLOW,F-279,1310.0,92000.0,9.1,Nuclear,FR
GRAVELINES 1,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
GRAVELINES 2,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
GRAVELINES 3,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
GRAVELINES 4,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
GRAVELINES 5,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
GRAVELINES 6,SLOW,F-2,910.0,92000.0,9.1,Nuclear,FR
NOGENT 1,SLOW,F-89,1310.0,92000.0,9.1,Nuclear,FR
NOGENT 2,SLOW,F-89,1310.0,92000.0,9.1,Nuclear,FR
PALUEL 1,SLOW,F-19,1330.0,92000.0,9.1,Nuclear,FR
PALUEL 2,SLOW,F-19,1330.0,92000.0,9.1,Nuclear,FR
PALUEL 3,SLOW,F-19,1330.0,92000.0,9.1,Nuclear,FR
PALUEL 4,SLOW,F-19,1330.0,92000.0,9.1,Nuclear,FR
PENLY 1,SLOW,F-15,1330.0,92000.0,9.1,Nuclear,FR
PENLY 2,SLOW,F-15,1330.0,92000.0,9.1,Nuclear,FR
ST ALBAN 1,SLOW,F-226,1335.0,92000.0,9.1,Nuclear,FR
ST ALBAN 2,SLOW,F-226,1335.0,92000.0,9.1,Nuclear,FR
ST LAURENT 1,SLOW,F-137,915.0,92000.0,9.1,Nuclear,FR
ST LAURENT 2,SLOW,F-137,915.0,92000.0,9.1,Nuclear,FR
TRICASTIN 1,SLOW,F-267,915.0,92000.0,9.1,Nuclear,FR
TRICASTIN 2,SLOW,F-267,915.0,92000.0,9.1,Nuclear,FR
TRICASTIN 3,SLOW,F-267,915.0,92000.0,9.1,Nuclear,FR
TRICASTIN 4,SLOW,F-267,915.0,92000.0,9.1,Nuclear,FR
ARRIGHI 1,FAST,F-74,125.0,9333.0,149.65,Oil,FR
ARRIGHI 2,FAST,F-74,129.0,9333.0,152.72,Oil,FR
BRENNILIS 1,FAST,F-126,85.0,9333.0,158.34,Oil,FR
BRENNILIS 2,FAST,F-126,85.0,9333.0,165.96,Oil,FR
BRENNILIS 3,FAST,F-126,134.0,9333.0,150.69,Oil,FR
DIRINON 1,FAST,F-115,85.0,9333.0,146.2,Oil,FR
DIRINON 2,FAST,F-115,85.0,9333.0,163.27,Oil,FR
MONTEREAU 5,FAST,F-98,185.0,9333.0,168.76,Oil,FR
MONTEREAU 6,FAST,F-98,185.0,9333.0,148.28,Oil,FR
VAIRES 1,FAST,F-74,181.0,9333.0,144.24,Oil,FR
VAIRES 2,FAST,F-74,179.0,9333.0,166.07,Oil,FR
VAIRES 3,FAST,F-74,182.0,9333.0,161.34,Oil,FR
Amercentrale (A8),SLOW,NL_Geert,645.0,46286.0,48.84,Coal,NL
Amercentrale (A9),SLOW,NL_Geert,640.0,46286.0,52.62,Coal,NL
CUIJK,SLOW,NL-16,25.0,46286.0,50.87,Coal,NL
Centrale Gelderland (CG13),SLOW,NL-16,0.0,46286.0,52.0,Coal,NL
Centrale Hemweg (HW-8),SLOW,NL-11,650.0,46286.0,52.89,Coal,NL
Centrale Maasvlakte (MV1),SLOW,NL-15,0.0,46286.0,52.82,Coal,NL
Centrale Maasvlakte (MV2),SLOW,NL-15,0.0,46286.0,52.78,Coal,NL
Centrale Maasvlakte (MV3),SLOW,NL-15,1068.0,46286.0,50.87,Coal,NL
MVL380 Centrale Rotterdam 1,SLOW,NL-15,731.0,46286.0,53.86,Coal,NL
Willem Alexander Centrale,SLOW,NL_Maasb,249.0,46286.0,49.59,Coal,NL
AL-1,FAST,NL-13,62.0,16500.0,64.6,CCGT,NL
AL-2,FAST,NL-13,55.0,16500.0,63.91,CCGT,NL
Amylum,FAST,NL-11,7.0,16500.0,62.23,CCGT,NL
BOZ,FAST,NL-new1,33.0,16500.0,65.63,CCGT,NL
Centrale Bergum (CB10),FAST,NL-4,72.0,16500.0,64.43,CCGT,NL
Centrale Bergum (CB20),FAST,NL-4,72.0,16500.0,64.69,CCGT,NL
Centrale Diemen (DM33),FAST,NL-13,249.0,16500.0,64.56,CCGT,NL
