Generator,GeneratorType,BusGenerator,Capacity,FixedCost,VariableCost,Technology,Country
BNA0434,SLOW,D-186,778.0,46286.0,32.91,Coal,DE
BNA0450,SLOW,D-104,449.0,46286.0,32.83,Coal,DE
BNA0464,SLOW,D-53,690.0,46286.0,51.44,Coal,DE
BNA0493,SLOW,D-65,794.0,46286.0,30.11,Coal,DE
BNA0498,SLOW,D-153,66.0,46286.0,30.07,Coal,DE
BNA0510b,SLOW,D-178,13.4,46286.0,31.64,Coal,DE
BNA0518a,SLOW,D-192,517.0,46286.0,30.34,Coal,DE
BNA0518b,SLOW,D-192,834.0,46286.0,32.41,Coal,DE
BNA0557a,SLOW,D-109,26.0,46286.0,30.79,Coal,DE
BNA0557b,SLOW,D-109,110.0,46286.0,32.31,Coal,DE
BNA0600b,SLOW,D-109,103.0,46286.0,32.24,Coal,DE
BNA0644,SLOW,D-177,255.0,46286.0,30.42,Coal,DE
BNA0645,SLOW,D-177,425.0,46286.0,31.79,Coal,DE
BNA0646a,SLOW,D-177,435.0,46286.0,30.11,Coal,DE
BNA0646b,SLOW,D-177,843.0,46286.0,29.88,Coal,DE
BNA0758,SLOW,D-157,54.0,46286.0,30.46,Coal,DE
BNA0793,SLOW,D-54,875.0,46286.0,49.95,Coal,DE
BNA0801,SLOW,D-199,26.9,46286.0,29.93,Coal,DE
BNA0820,SLOW,D_185,655.6,46286.0,31.82,Coal,DE
BNA0849,SLOW,D-7,514.0,46286.0,31.52,Coal,DE
BNA0861b,SLOW,D_185,50.0,46286.0,31.18,Coal,DE
BNA0926b,SLOW,D-158,24.79,46286.0,33.91,Coal,DE
BNA0935,SLOW,D-196,45.0,46286.0,32.0,Coal,DE
BNA0936,SLOW,D-196,45.0,46286.0,31.13,Coal,DE
BNA0969b,SLOW,D-214,332.7,46286.0,32.16,Coal,DE
BNA0998,SLOW,D_185,179.0,46286.0,30.65,Coal,DE
BNA0999,SLOW,D_185,211.0,46286.0,28.31,Coal,DE
BNA1005,SLOW,D-196,96.0,46286.0,51.21,Coal,DE
BNA1006,SLOW,D-196,148.0,46286.0,51.46,Coal,DE
BNA1061,SLOW,D-22,757.0,46286.0,50.76,Coal,DE
BNA1075a,SLOW,D-112,61.5,46286.0,30.97,Coal,DE
BNA1075b,SLOW,D-51,61.5,46286.0,29.25,Coal,DE
BNA1076a,SLOW,D-112,138.5,46286.0,30.79,Coal,DE
BNA1076b,SLOW,D-51,138.5,46286.0,31.68,Coal,DE
BNA1093,SLOW,D-209,472.0,46286.0,29.15,Coal,DE
BNA1331,SLOW,D-101,19.0,46286.0,31.8,Coal,DE
BNA1405a,SLOW,E-211,20.7,46286.0,30.86,Coal,DE
BNA1500,SLOW,D-30,40.0,46286.0,31.79,Coal,DE
BNA1508,SLOW,D-104,735.0,46286.0,33.34,Coal,DE
BNA1558,SLOW,D-23,800.0,46286.0,29.79,Coal,DE
BNA1673,SLOW,D-23,800.0,46286.0,30.66,Coal,DE
BNA1674,SLOW,D-22,731.0,46286.0,49.79,Coal,DE
BNA0115,SLOW,D-99,875.0,101500.0,19.69,Lignite,DE
BNA0116,SLOW,D-99,875.0,101500.0,19.49,Lignite,DE
BNA0122,SLOW,D-83,465.0,101500.0,20.14,Lignite,DE
BNA0123,SLOW,D-83,465.0,101500.0,19.41,Lignite,DE
BNA0124,SLOW,D-83,857.0,101500.0,19.66,Lignite,DE
BNA0177,SLOW,D-117,56.8,101500.0,20.64,Lignite,DE
BNA0179,SLOW,D-117,90.8,101500.0,18.5,Lignite,DE
BNA0183,SLOW,D-68,74.0,101500.0,18.82,Lignite,DE
BNA0196,SLOW,D-114,67.0,101500.0,19.46,Lignite,DE
BNA0292,SLOW,D_Rommer,176.0,101500.0,19.94,Lignite,DE
BNA0313,SLOW,D-126,284.0,101500.0,20.53,Lignite,DE
BNA0314,SLOW,D-126,278.0,101500.0,39.41,Lignite,DE
BNA0439,SLOW,D-58,352.0,101500.0,38.99,Lignite,DE
BNA0489,SLOW,D-137,40.0,101500.0,20.14,Lignite,DE
BNA0490a,SLOW,D-137,0.0,101500.0,20.33,Lignite,DE
BNA0491,SLOW,D-137,98.0,101500.0,19.37,Lignite,DE
BNA0523,SLOW,D-112,33.5,101500.0,18.88,Lignite,DE
BNA0543,SLOW,D-123,75.3,101500.0,20.3,Lignite,DE
BNA0696,SLOW,D-126,294.0,101500.0,39.46,Lignite,DE
BNA0697,SLOW,D-126,294.0,101500.0,38.88,Lignite,DE
BNA0698,SLOW,D-126,292.0,101500.0,39.46,Lignite,DE
BNA0699,SLOW,D-126,607.0,101500.0,19.62,Lignite,DE
BNA0700,SLOW,D-126,604.0,101500.0,19.81,Lignite,DE
BNA0705,SLOW,D_Rommer,297.0,101500.0,19.3,Lignite,DE
BNA0706,SLOW,D_Rommer,299.0,101500.0,19.55,Lignite,DE
BNA0707,SLOW,D_Rommer,648.0,101500.0,19.04,Lignite,DE
BNA0708,SLOW,D_Rommer,628.0,101500.0,20.33,Lignite,DE
BNA0709,SLOW,D_Rommer,944.0,101500.0,19.98,Lignite,DE
BNA0712,SLOW,D_Rommer,295.0,101500.0,19.69,Lignite,DE
BNA0713,SLOW,D_Rommer,295.0,101500.0,39.87,Lignite,DE
BNA0714,SLOW,D_Rommer,15.0,101500.0,19.48,Lignite,DE
BNA0785,SLOW,D-68,465.0,101500.0,19.19,Lignite,DE
BNA0786,SLOW,D-68,465.0,101500.0,19.13,Lignite,DE
BNA0787,SLOW,D-68,465.0,101500.0,18.74,Lignite,DE
BNA0788,SLOW,D-68,465.0,101500.0,19.29,Lignite,DE
BNA0789,SLOW,D-68,465.0,101500.0,19.81,Lignite,DE
BNA0790,SLOW,D-68,465.0,101500.0,19.77,Lignite,DE
BNA0878,SLOW,D-85,450.0,101500.0,19.65,Lignite,DE
BNA0879,SLOW,D-85,450.0,101500.0,19.29,Lignite,DE
BNA0914,SLOW,D-83,750.0,101500.0,19.71,Lignite,DE
BNA0915,SLOW,D-83,750.0,101500.0,20.79,Lignite,DE
BNA1002,SLOW,D-114,31.0,101500.0,18.18,Lignite,DE
BNA1025,SLOW,D_Siersd,321.0,101500.0,39.26,Lignite,DE
BNA1026,SLOW,D_Siersd,321.0,101500.0,38.61,Lignite,DE
BNA1027,SLOW,D_Siersd,663.0,101500.0,18.95,Lignite,DE
